MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,USA,Europe,Japan
34.1,4,91.0,68.0,1985.0,16.0,81,0.0,0.0,1.0
20.2,6,200.0,85.0,2965.0,15.8,78,1.0,0.0,0.0
32.2,4,108.0,75.0,2265.0,15.2,80,0.0,0.0,1.0
19.4,6,232.0,90.0,3210.0,17.2,78,1.0,0.0,0.0
30.0,4,135.0,84.0,2385.0,12.9,81,1.0,0.0,0.0
15.5,8,350.0,170.0,4165.0,11.4,77,1.0,0.0,0.0
22.0,4,108.0,94.0,2379.0,16.5,73,0.0,0.0,1.0
19.0,4,121.0,112.0,2868.0,15.5,73,0.0,1.0,0.0
32.4,4,107.0,72.0,2290.0,17.0,80,0.0,0.0,1.0
36.1,4,91.0,60.0,1800.0,16.4,78,0.0,0.0,1.0
36.0,4,105.0,74.0,1980.0,15.3,82,0.0,1.0,0.0
13.0,8,318.0,150.0,3940.0,13.2,76,1.0,0.0,0.0
43.4,4,90.0,48.0,2335.0,23.7,80,0.0,1.0,0.0
29.0,4,90.0,70.0,1937.0,14.0,75,0.0,1.0,0.0
31.0,4,119.0,82.0,2720.0,19.4,82,1.0,0.0,0.0
41.5,4,98.0,76.0,2144.0,14.7,80,0.0,1.0,0.0
26.4,4,140.0,88.0,2870.0,18.1,80,1.0,0.0,0.0
15.0,6,250.0,72.0,3158.0,19.5,75,1.0,0.0,0.0
17.0,8,260.0,110.0,4060.0,19.0,77,1.0,0.0,0.0
21.5,3,80.0,110.0,2720.0,13.5,77,0.0,0.0,1.0
17.5,8,305.0,145.0,3880.0,12.5,77,1.0,0.0,0.0
15.0,8,400.0,150.0,3761.0,9.5,70,1.0,0.0,0.0
18.6,6,225.0,110.0,3620.0,18.7,78,1.0,0.0,0.0
32.9,4,119.0,100.0,2615.0,14.8,81,0.0,0.0,1.0
23.0,4,97.0,54.0,2254.0,23.5,72,0.0,1.0,0.0
30.0,4,98.0,68.0,2155.0,16.5,78,1.0,0.0,0.0
19.2,8,267.0,125.0,3605.0,15.0,79,1.0,0.0,0.0
13.0,8,302.0,129.0,3169.0,12.0,75,1.0,0.0,0.0
20.2,6,232.0,90.0,3265.0,18.2,79,1.0,0.0,0.0
43.1,4,90.0,48.0,1985.0,21.5,78,0.0,1.0,0.0
25.0,4,110.0,87.0,2672.0,17.5,70,0.0,1.0,0.0
32.4,4,108.0,75.0,2350.0,16.8,81,0.0,0.0,1.0
14.0,8,340.0,160.0,3609.0,8.0,70,1.0,0.0,0.0
23.0,4,115.0,95.0,2694.0,15.0,75,0.0,1.0,0.0
21.1,4,134.0,95.0,2515.0,14.8,78,0.0,0.0,1.0
18.0,6,225.0,95.0,3785.0,19.0,75,1.0,0.0,0.0
30.9,4,105.0,75.0,2230.0,14.5,78,1.0,0.0,0.0
21.0,6,199.0,90.0,2648.0,15.0,70,1.0,0.0,0.0
17.0,8,305.0,130.0,3840.0,15.4,79,1.0,0.0,0.0
13.0,8,302.0,130.0,3870.0,15.0,76,1.0,0.0,0.0
31.0,4,79.0,67.0,1950.0,19.0,74,0.0,0.0,1.0
12.0,8,350.0,160.0,4456.0,13.5,72,1.0,0.0,0.0
40.8,4,85.0,65.0,2110.0,19.2,80,0.0,0.0,1.0
18.0,6,199.0,97.0,2774.0,15.5,70,1.0,0.0,0.0
13.0,8,307.0,130.0,4098.0,14.0,72,1.0,0.0,0.0
38.0,4,91.0,67.0,1995.0,16.2,82,0.0,0.0,1.0
32.0,4,91.0,67.0,1965.0,15.7,82,0.0,0.0,1.0
31.6,4,120.0,74.0,2635.0,18.3,81,0.0,0.0,1.0
21.0,4,122.0,86.0,2226.0,16.5,72,1.0,0.0,0.0
30.0,4,88.0,76.0,2065.0,14.5,71,0.0,1.0,0.0
25.0,6,181.0,110.0,2945.0,16.4,82,1.0,0.0,0.0
16.0,8,400.0,170.0,4668.0,11.5,75,1.0,0.0,0.0
16.0,8,351.0,149.0,4335.0,14.5,77,1.0,0.0,0.0
15.0,8,350.0,145.0,4082.0,13.0,73,1.0,0.0,0.0
23.7,3,70.0,100.0,2420.0,12.5,80,0.0,0.0,1.0
16.5,6,168.0,120.0,3820.0,16.7,76,0.0,1.0,0.0
18.0,6,171.0,97.0,2984.0,14.5,75,1.0,0.0,0.0
20.6,6,231.0,105.0,3380.0,15.8,78,1.0,0.0,0.0
18.0,6,232.0,100.0,3288.0,15.5,71,1.0,0.0,0.0
22.3,4,140.0,88.0,2890.0,17.3,79,1.0,0.0,0.0
29.5,4,97.0,71.0,1825.0,12.2,76,0.0,1.0,0.0
20.0,6,156.0,122.0,2807.0,13.5,73,0.0,0.0,1.0
14.0,8,400.0,175.0,4385.0,12.0,72,1.0,0.0,0.0
33.0,4,105.0,74.0,2190.0,14.2,81,0.0,1.0,0.0
25.1,4,140.0,88.0,2720.0,15.4,78,1.0,0.0,0.0
15.0,8,318.0,150.0,4135.0,13.5,72,1.0,0.0,0.0
18.0,4,121.0,112.0,2933.0,14.5,72,0.0,1.0,0.0
24.0,4,90.0,75.0,2108.0,15.5,74,0.0,1.0,0.0
18.5,6,250.0,110.0,3645.0,16.2,76,1.0,0.0,0.0
24.0,4,113.0,95.0,2372.0,15.0,70,0.0,0.0,1.0
14.0,8,302.0,140.0,4638.0,16.0,74,1.0,0.0,0.0
29.0,4,85.0,52.0,2035.0,22.2,76,1.0,0.0,0.0
20.3,5,131.0,103.0,2830.0,15.9,78,0.0,1.0,0.0
23.9,4,119.0,97.0,2405.0,14.9,78,0.0,0.0,1.0
36.4,5,121.0,67.0,2950.0,19.9,80,0.0,1.0,0.0
30.0,4,111.0,80.0,2155.0,14.8,77,1.0,0.0,0.0
12.0,8,429.0,198.0,4952.0,11.5,73,1.0,0.0,0.0
20.0,6,198.0,95.0,3102.0,16.5,74,1.0,0.0,0.0
18.0,6,225.0,105.0,3613.0,16.5,74,1.0,0.0,0.0
28.1,4,141.0,80.0,3230.0,20.4,81,0.0,1.0,0.0
18.0,6,225.0,105.0,3121.0,16.5,73,1.0,0.0,0.0
32.0,4,71.0,65.0,1836.0,21.0,74,0.0,0.0,1.0
33.7,4,107.0,75.0,2210.0,14.4,81,0.0,0.0,1.0
35.1,4,81.0,60.0,1760.0,16.1,81,0.0,0.0,1.0
19.0,6,225.0,100.0,3630.0,17.7,77,1.0,0.0,0.0
17.0,6,250.0,100.0,3329.0,15.5,71,1.0,0.0,0.0
27.5,4,134.0,95.0,2560.0,14.2,78,0.0,0.0,1.0
16.0,8,302.0,140.0,4141.0,14.0,74,1.0,0.0,0.0
31.0,4,91.0,68.0,1970.0,17.6,82,0.0,0.0,1.0
36.0,4,107.0,75.0,2205.0,14.5,82,0.0,0.0,1.0
13.0,8,318.0,150.0,3755.0,14.0,76,1.0,0.0,0.0
34.2,4,105.0,70.0,2200.0,13.2,79,1.0,0.0,0.0
23.0,4,122.0,86.0,2220.0,14.0,71,1.0,0.0,0.0
24.3,4,151.0,90.0,3003.0,20.1,80,1.0,0.0,0.0
37.2,4,86.0,65.0,2019.0,16.4,80,0.0,0.0,1.0
26.0,4,156.0,92.0,2585.0,14.5,82,1.0,0.0,0.0
17.5,8,305.0,140.0,4215.0,13.0,76,1.0,0.0,0.0
26.8,6,173.0,115.0,2700.0,12.9,79,1.0,0.0,0.0
15.0,6,250.0,100.0,3336.0,17.0,74,1.0,0.0,0.0
32.0,4,135.0,84.0,2295.0,11.6,82,1.0,0.0,0.0
20.0,4,114.0,91.0,2582.0,14.0,73,0.0,1.0,0.0
19.0,6,250.0,100.0,3282.0,15.0,71,1.0,0.0,0.0
26.0,4,97.0,46.0,1950.0,21.0,73,0.0,1.0,0.0
26.0,4,97.0,78.0,2300.0,14.5,74,0.0,1.0,0.0
15.0,8,383.0,170.0,3563.0,10.0,70,1.0,0.0,0.0
14.0,8,318.0,150.0,4077.0,14.0,72,1.0,0.0,0.0
25.0,4,90.0,71.0,2223.0,16.5,75,0.0,1.0,0.0
18.0,8,318.0,150.0,3436.0,11.0,70,1.0,0.0,0.0
36.1,4,98.0,66.0,1800.0,14.4,78,1.0,0.0,0.0
44.6,4,91.0,67.0,1850.0,13.8,80,0.0,0.0,1.0
25.4,6,168.0,116.0,2900.0,12.6,81,0.0,0.0,1.0
28.0,4,107.0,86.0,2464.0,15.5,76,0.0,1.0,0.0
37.0,4,119.0,92.0,2434.0,15.0,80,0.0,0.0,1.0
14.0,8,455.0,225.0,3086.0,10.0,70,1.0,0.0,0.0
15.0,8,390.0,190.0,3850.0,8.5,70,1.0,0.0,0.0
19.9,8,260.0,110.0,3365.0,15.5,78,1.0,0.0,0.0
26.0,4,122.0,80.0,2451.0,16.5,74,1.0,0.0,0.0
38.0,4,91.0,67.0,1965.0,15.0,82,0.0,0.0,1.0
46.6,4,86.0,65.0,2110.0,17.9,80,0.0,0.0,1.0
14.0,8,318.0,150.0,4096.0,13.0,71,1.0,0.0,0.0
21.0,4,140.0,72.0,2401.0,19.5,73,1.0,0.0,0.0
22.0,6,232.0,112.0,2835.0,14.7,82,1.0,0.0,0.0
15.0,6,258.0,110.0,3730.0,19.0,75,1.0,0.0,0.0
31.3,4,120.0,75.0,2542.0,17.5,80,0.0,0.0,1.0
27.4,4,121.0,80.0,2670.0,15.0,79,1.0,0.0,0.0
13.0,8,350.0,145.0,4055.0,12.0,76,1.0,0.0,0.0
26.0,4,96.0,69.0,2189.0,18.0,72,0.0,1.0,0.0
37.0,4,85.0,65.0,1975.0,19.4,81,0.0,0.0,1.0
18.0,6,258.0,110.0,2962.0,13.5,71,1.0,0.0,0.0
24.0,4,134.0,96.0,2702.0,13.5,75,0.0,0.0,1.0
17.0,6,163.0,125.0,3140.0,13.6,78,0.0,1.0,0.0
32.0,4,144.0,96.0,2665.0,13.9,82,0.0,0.0,1.0
21.0,4,120.0,87.0,2979.0,19.5,72,0.0,1.0,0.0
17.5,6,258.0,95.0,3193.0,17.8,76,1.0,0.0,0.0
21.5,6,231.0,115.0,3245.0,15.4,79,1.0,0.0,0.0
22.0,6,225.0,100.0,3233.0,15.4,76,1.0,0.0,0.0
26.6,8,350.0,105.0,3725.0,19.0,81,1.0,0.0,0.0
24.0,4,113.0,95.0,2278.0,15.5,72,0.0,0.0,1.0
30.0,4,146.0,67.0,3250.0,21.8,80,0.0,1.0,0.0
25.5,4,140.0,89.0,2755.0,15.8,77,1.0,0.0,0.0
30.5,4,97.0,78.0,2190.0,14.1,77,0.0,1.0,0.0
15.0,6,250.0,72.0,3432.0,21.0,75,1.0,0.0,0.0
21.6,4,121.0,115.0,2795.0,15.7,78,0.0,1.0,0.0
13.0,8,350.0,155.0,4502.0,13.5,72,1.0,0.0,0.0
20.5,6,200.0,95.0,3155.0,18.2,78,1.0,0.0,0.0
17.5,6,250.0,110.0,3520.0,16.4,77,1.0,0.0,0.0
18.0,6,250.0,88.0,3139.0,14.5,71,1.0,0.0,0.0
16.5,8,351.0,138.0,3955.0,13.2,79,1.0,0.0,0.0
22.0,6,198.0,95.0,2833.0,15.5,70,1.0,0.0,0.0
37.0,4,91.0,68.0,2025.0,18.2,82,0.0,0.0,1.0
23.0,4,140.0,83.0,2639.0,17.0,75,1.0,0.0,0.0
24.0,6,200.0,81.0,3012.0,17.6,76,1.0,0.0,0.0
15.0,8,304.0,150.0,3892.0,12.5,72,1.0,0.0,0.0
32.7,6,168.0,132.0,2910.0,11.4,80,0.0,0.0,1.0
15.5,8,318.0,145.0,4140.0,13.7,77,1.0,0.0,0.0
33.0,4,91.0,53.0,1795.0,17.4,76,0.0,0.0,1.0
26.0,4,98.0,79.0,2255.0,17.7,76,1.0,0.0,0.0
29.0,4,97.0,78.0,1940.0,14.5,77,0.0,1.0,0.0
29.0,4,68.0,49.0,1867.0,19.5,73,0.0,1.0,0.0
18.5,6,250.0,98.0,3525.0,19.0,77,1.0,0.0,0.0
23.0,4,140.0,78.0,2592.0,18.5,75,1.0,0.0,0.0
24.5,4,98.0,60.0,2164.0,22.1,76,1.0,0.0,0.0
15.5,8,400.0,190.0,4325.0,12.2,77,1.0,0.0,0.0
13.0,8,400.0,170.0,4746.0,12.0,71,1.0,0.0,0.0
10.0,8,360.0,215.0,4615.0,14.0,70,1.0,0.0,0.0
20.5,6,225.0,100.0,3430.0,17.2,78,1.0,0.0,0.0
20.0,6,225.0,100.0,3651.0,17.7,76,1.0,0.0,0.0
18.2,8,318.0,135.0,3830.0,15.2,79,1.0,0.0,0.0
12.0,8,400.0,167.0,4906.0,12.5,73,1.0,0.0,0.0
17.6,6,225.0,85.0,3465.0,16.6,81,1.0,0.0,0.0
26.0,4,116.0,75.0,2246.0,14.0,74,0.0,1.0,0.0
23.2,4,156.0,105.0,2745.0,16.7,78,1.0,0.0,0.0
33.8,4,97.0,67.0,2145.0,18.0,80,0.0,0.0,1.0
14.0,8,350.0,165.0,4209.0,12.0,71,1.0,0.0,0.0
28.8,6,173.0,115.0,2595.0,11.3,79,1.0,0.0,0.0
16.0,8,400.0,230.0,4278.0,9.5,73,1.0,0.0,0.0
29.9,4,98.0,65.0,2380.0,20.7,81,1.0,0.0,0.0
24.0,4,119.0,97.0,2545.0,17.0,75,0.0,0.0,1.0
28.0,4,140.0,90.0,2264.0,15.5,71,1.0,0.0,0.0
16.0,6,250.0,100.0,3781.0,17.0,74,1.0,0.0,0.0
31.5,4,98.0,68.0,2045.0,18.5,77,0.0,0.0,1.0
11.0,8,318.0,210.0,4382.0,13.5,70,1.0,0.0,0.0
26.5,4,140.0,72.0,2565.0,13.6,76,1.0,0.0,0.0
23.0,4,120.0,97.0,2506.0,14.5,72,0.0,0.0,1.0
35.0,4,72.0,69.0,1613.0,18.0,71,0.0,0.0,1.0
18.0,6,250.0,78.0,3574.0,21.0,76,1.0,0.0,0.0
16.5,8,350.0,180.0,4380.0,12.1,76,1.0,0.0,0.0
11.0,8,400.0,150.0,4997.0,14.0,73,1.0,0.0,0.0
19.0,6,232.0,100.0,2634.0,13.0,71,1.0,0.0,0.0
15.0,8,302.0,130.0,4295.0,14.9,77,1.0,0.0,0.0
27.0,4,151.0,90.0,2950.0,17.3,82,1.0,0.0,0.0
30.0,4,79.0,70.0,2074.0,19.5,71,0.0,1.0,0.0
11.0,8,429.0,208.0,4633.0,11.0,72,1.0,0.0,0.0
20.5,6,231.0,105.0,3425.0,16.9,77,1.0,0.0,0.0
17.6,8,302.0,129.0,3725.0,13.4,79,1.0,0.0,0.0
27.2,4,135.0,84.0,2490.0,15.7,81,1.0,0.0,0.0
12.0,8,350.0,180.0,4499.0,12.5,73,1.0,0.0,0.0
12.0,8,383.0,180.0,4955.0,11.5,71,1.0,0.0,0.0
14.0,8,304.0,150.0,3672.0,11.5,73,1.0,0.0,0.0
17.7,6,231.0,165.0,3445.0,13.4,78,1.0,0.0,0.0
34.0,4,108.0,70.0,2245.0,16.9,82,0.0,0.0,1.0
22.0,4,122.0,86.0,2395.0,16.0,72,1.0,0.0,0.0
17.0,8,302.0,140.0,3449.0,10.5,70,1.0,0.0,0.0
24.0,4,140.0,92.0,2865.0,16.4,82,1.0,0.0,0.0
33.5,4,98.0,83.0,2075.0,15.9,77,1.0,0.0,0.0
23.0,4,120.0,88.0,2957.0,17.0,75,0.0,1.0,0.0
28.0,4,90.0,75.0,2125.0,14.5,74,1.0,0.0,0.0
15.5,8,351.0,142.0,4054.0,14.3,79,1.0,0.0,0.0
22.0,6,146.0,97.0,2815.0,14.5,77,0.0,0.0,1.0
18.0,6,250.0,88.0,3021.0,16.5,73,1.0,0.0,0.0
19.0,4,120.0,88.0,3270.0,21.9,76,0.0,1.0,0.0
27.2,4,141.0,71.0,3190.0,24.8,79,0.0,1.0,0.0
22.5,6,232.0,90.0,3085.0,17.6,76,1.0,0.0,0.0
39.1,4,79.0,58.0,1755.0,16.9,81,0.0,0.0,1.0
21.0,6,200.0,85.0,2587.0,16.0,70,1.0,0.0,0.0
14.0,8,304.0,150.0,4257.0,15.5,74,1.0,0.0,0.0
25.8,4,156.0,92.0,2620.0,14.4,81,1.0,0.0,0.0
24.0,4,107.0,90.0,2430.0,14.5,70,0.0,1.0,0.0
14.0,8,400.0,175.0,4464.0,11.5,71,1.0,0.0,0.0
38.0,6,262.0,85.0,3015.0,17.0,82,1.0,0.0,0.0
13.0,8,350.0,165.0,4274.0,12.0,72,1.0,0.0,0.0
27.0,4,97.0,88.0,2130.0,14.5,71,0.0,0.0,1.0
20.0,4,130.0,102.0,3150.0,15.7,76,0.0,1.0,0.0
25.4,5,183.0,77.0,3530.0,20.1,79,0.0,1.0,0.0
38.0,4,105.0,63.0,2125.0,14.7,82,1.0,0.0,0.0
23.0,8,350.0,125.0,3900.0,17.4,79,1.0,0.0,0.0
30.0,4,97.0,67.0,1985.0,16.4,77,0.0,0.0,1.0
15.0,8,350.0,165.0,3693.0,11.5,70,1.0,0.0,0.0
33.0,4,91.0,53.0,1795.0,17.5,75,0.0,0.0,1.0
20.2,8,302.0,139.0,3570.0,12.8,78,1.0,0.0,0.0
25.0,4,140.0,75.0,2542.0,17.0,74,1.0,0.0,0.0
20.0,4,97.0,88.0,2279.0,19.0,73,0.0,0.0,1.0
29.0,4,135.0,84.0,2525.0,16.0,82,1.0,0.0,0.0
23.8,4,151.0,85.0,2855.0,17.6,78,1.0,0.0,0.0
19.4,8,318.0,140.0,3735.0,13.2,78,1.0,0.0,0.0
14.0,8,454.0,220.0,4354.0,9.0,70,1.0,0.0,0.0
16.0,8,304.0,150.0,3433.0,12.0,70,1.0,0.0,0.0
25.0,4,121.0,115.0,2671.0,13.5,75,0.0,1.0,0.0
30.7,6,145.0,76.0,3160.0,19.6,81,0.0,1.0,0.0
13.0,8,400.0,190.0,4422.0,12.5,72,1.0,0.0,0.0
36.0,4,79.0,58.0,1825.0,18.6,77,0.0,1.0,0.0
29.0,4,98.0,83.0,2219.0,16.5,74,0.0,1.0,0.0
27.2,4,119.0,97.0,2300.0,14.7,78,0.0,0.0,1.0
18.0,8,307.0,130.0,3504.0,12.0,70,1.0,0.0,0.0
30.5,4,98.0,63.0,2051.0,17.0,77,1.0,0.0,0.0
13.0,8,302.0,140.0,4294.0,16.0,72,1.0,0.0,0.0
28.4,4,151.0,90.0,2670.0,16.0,79,1.0,0.0,0.0
19.0,4,122.0,85.0,2310.0,18.5,73,1.0,0.0,0.0
36.0,4,98.0,70.0,2125.0,17.3,82,1.0,0.0,0.0
17.5,8,318.0,140.0,4080.0,13.7,78,1.0,0.0,0.0
16.9,8,350.0,155.0,4360.0,14.9,79,1.0,0.0,0.0
17.0,8,304.0,150.0,3672.0,11.5,72,1.0,0.0,0.0
16.0,6,250.0,100.0,3278.0,18.0,73,1.0,0.0,0.0
18.1,8,302.0,139.0,3205.0,11.2,78,1.0,0.0,0.0
31.0,4,79.0,67.0,2000.0,16.0,74,0.0,1.0,0.0
39.0,4,86.0,64.0,1875.0,16.4,81,1.0,0.0,0.0
33.5,4,151.0,90.0,2556.0,13.2,79,1.0,0.0,0.0
14.0,8,318.0,150.0,4237.0,14.5,73,1.0,0.0,0.0
44.0,4,97.0,52.0,2130.0,24.6,82,0.0,1.0,0.0
22.0,4,121.0,76.0,2511.0,18.0,72,0.0,1.0,0.0
29.0,4,90.0,70.0,1937.0,14.2,76,0.0,1.0,0.0
11.0,8,350.0,180.0,3664.0,11.0,73,1.0,0.0,0.0
28.0,4,98.0,80.0,2164.0,15.0,72,1.0,0.0,0.0
19.2,6,231.0,105.0,3535.0,19.2,78,1.0,0.0,0.0
27.0,4,151.0,90.0,2735.0,18.0,82,1.0,0.0,0.0
34.3,4,97.0,78.0,2188.0,15.8,80,0.0,1.0,0.0
29.8,4,89.0,62.0,1845.0,15.3,80,0.0,1.0,0.0
18.0,6,232.0,100.0,2789.0,15.0,73,1.0,0.0,0.0
34.7,4,105.0,63.0,2215.0,14.9,81,1.0,0.0,0.0
14.0,8,318.0,150.0,4457.0,13.5,74,1.0,0.0,0.0
9.0,8,304.0,193.0,4732.0,18.5,70,1.0,0.0,0.0
23.5,6,173.0,110.0,2725.0,12.6,81,1.0,0.0,0.0
25.5,4,122.0,96.0,2300.0,15.5,77,1.0,0.0,0.0
29.8,4,134.0,90.0,2711.0,15.5,80,0.0,0.0,1.0
16.0,6,250.0,105.0,3897.0,18.5,75,1.0,0.0,0.0
28.0,4,116.0,90.0,2123.0,14.0,71,0.0,1.0,0.0
34.0,4,112.0,88.0,2395.0,18.0,82,1.0,0.0,0.0
13.0,8,350.0,175.0,4100.0,13.0,73,1.0,0.0,0.0
18.1,6,258.0,120.0,3410.0,15.1,78,1.0,0.0,0.0
23.0,6,198.0,95.0,2904.0,16.0,73,1.0,0.0,0.0
31.5,4,89.0,71.0,1990.0,14.9,78,0.0,1.0,0.0
26.0,4,97.0,75.0,2265.0,18.2,77,0.0,0.0,1.0
13.0,8,400.0,175.0,5140.0,12.0,71,1.0,0.0,0.0
21.5,4,121.0,110.0,2600.0,12.8,77,0.0,1.0,0.0
27.0,4,97.0,60.0,1834.0,19.0,71,0.0,1.0,0.0
20.6,6,225.0,110.0,3360.0,16.6,79,1.0,0.0,0.0
13.0,8,350.0,145.0,3988.0,13.0,73,1.0,0.0,0.0
13.0,8,360.0,175.0,3821.0,11.0,73,1.0,0.0,0.0
25.0,4,113.0,95.0,2228.0,14.0,71,0.0,0.0,1.0
14.5,8,351.0,152.0,4215.0,12.8,76,1.0,0.0,0.0
15.0,8,429.0,198.0,4341.0,10.0,70,1.0,0.0,0.0
27.0,4,97.0,88.0,2100.0,16.5,72,0.0,0.0,1.0
